Image,Education_URL,Title,Time Period,Author,Location
https://images.metmuseum.org/CRDImages/eg/mobile-large/18.8.18.front.jpg,https://www.metmuseum.org/art/collection/search/544020,Two-Handled Ointment Jar,ca. 1479–1425 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/LC-27_3_495%E2%80%93496_EGDP024903.jpg,https://www.metmuseum.org/art/collection/search/548931,Model Ointment Jar from a Foundation Deposit,ca. 1479–1458 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/545521,Ointment jar of Sithathoryunet,ca. 1887–1813 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564768,Fragment of the Bottom Surface of Siptah's Canopic Box,ca. 1194–1188 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564681,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/14_6_317ac.jpg,https://www.metmuseum.org/art/collection/search/561268,Fragment of the Upper Edge of Siptah's Canopic Chest,ca. 1194–1188 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/569099,Head of staff,ca. 1295–1070 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/16.10.481_view.1.jpg,https://www.metmuseum.org/art/collection/search/549918,Inscribed Ointment Jar From Foundation Deposit 2 of Hatshepsut's Valley Temple,ca. 1479–1458 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564799,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/md/mobile-large/DP344483.jpg,https://www.metmuseum.org/art/collection/search/464369,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/548657,Storage Jar,ca. 1479–1425 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564776,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564788,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/544917,Ointment vessel with lid,ca. 1950–1900 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ma/mobile-large/sf66.244.22.jpg,https://www.metmuseum.org/art/collection/search/489468,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/md/mobile-large/DP-18976-013.jpg,https://www.metmuseum.org/art/collection/search/468263,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/554683,Bowl,ca. 1550–1295 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/546622,Cosmetic jar,ca. 1981–1900 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/DP276007.jpg,https://www.metmuseum.org/art/collection/search/544028,Wide-Necked Cosmetic Jar,ca. 1550–1450 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/556989,Weight,ca. 1981–1640 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/544051,Dish in the shape of a shell,ca. 1550–1295 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/545100,Kohl pot with lid,ca. 1802–1640 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/548924,Inscribed Saucer from a Foundation Deposit,ca. 1479–1458 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/gr/mobile-large/DP202091.jpg,https://www.metmuseum.org/art/collection/search/258094,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/14_6_328ac.jpg,https://www.metmuseum.org/art/collection/search/561279,Fragment of the Interior surface of Siptah's Canopic Chest,ca. 1194–1188 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/DP112383.jpg,https://www.metmuseum.org/art/collection/search/547623,Girdle of disc and ball beads,ca. 1550–1425 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564725,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/568047,"Inlay, hanging pendant shape",ca. 1550–1295 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564754,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/rl/mobile-large/DT3064.jpg,https://www.metmuseum.org/art/collection/search/459032,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/547459,Cylinder jar with single wavy handle,ca. 3100–2650 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/DP307894.jpg,https://www.metmuseum.org/art/collection/search/555938,Plaque from a Foundation Deposit of Senwosret I,ca. 1961–1917 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ma/mobile-large/DT7509.jpg,https://www.metmuseum.org/art/collection/search/482698,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/546503,Grinding stone,ca. 1981–1952 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/ap95.5.jpg,https://www.metmuseum.org/art/collection/search/11159,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/552031,Miniature Stone Vessel,ca. 2150–2100 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/ap17.87.2.jpg,https://www.metmuseum.org/art/collection/search/13051,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/14.6.282_EGDP015325.jpg,https://www.metmuseum.org/art/collection/search/560873,Shabti of Siptah,ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP276131.jpg,https://www.metmuseum.org/art/collection/search/437875,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564641,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ma/mobile-large/DP161996.jpg,https://www.metmuseum.org/art/collection/search/489475,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564622,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP259113.jpg,https://www.metmuseum.org/art/collection/search/435741,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564610,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP-29211-001.jpg,https://www.metmuseum.org/art/collection/search/435604,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DT6731.jpg,https://www.metmuseum.org/art/collection/search/14419,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DP105666.jpg,https://www.metmuseum.org/art/collection/search/14475,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564645,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/ap20.75.jpg,https://www.metmuseum.org/art/collection/search/10990,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP-29324-001.jpg,https://www.metmuseum.org/art/collection/search/437329,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/ap1970.58.jpg,https://www.metmuseum.org/art/collection/search/10796,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DT1138.jpg,https://www.metmuseum.org/art/collection/search/437423,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564677,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DT1915.jpg,https://www.metmuseum.org/art/collection/search/437993,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ma/mobile-large/B03R2_62C.jpg,https://www.metmuseum.org/art/collection/search/481763,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DT9008.jpg,https://www.metmuseum.org/art/collection/search/435986,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DT105.jpg,https://www.metmuseum.org/art/collection/search/10080,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP123856.jpg,https://www.metmuseum.org/art/collection/search/437800,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP317732.jpg,https://www.metmuseum.org/art/collection/search/437257,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DT2639.jpg,https://www.metmuseum.org/art/collection/search/10501,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP-687-001.jpg,https://www.metmuseum.org/art/collection/search/435844,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DT2039.jpg,https://www.metmuseum.org/art/collection/search/12668,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP-33710-001.jpg,https://www.metmuseum.org/art/collection/search/435867,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/aa/mobile-large/sfsb25.26.2s1.jpg,https://www.metmuseum.org/art/collection/search/27889,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DT9353.jpg,https://www.metmuseum.org/art/collection/search/437788,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ma/mobile-large/DT5775.jpg,https://www.metmuseum.org/art/collection/search/484787,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DT1877.jpg,https://www.metmuseum.org/art/collection/search/438012,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP124808.jpg,https://www.metmuseum.org/art/collection/search/436526,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/rl/mobile-large/DT3137.jpg,https://www.metmuseum.org/art/collection/search/459118,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/VR%2039.184.18%20Ptg.%201%20Ret.jpg,https://www.metmuseum.org/art/collection/search/16743,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/ap41.14.jpg,https://www.metmuseum.org/art/collection/search/13003,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DT226889.jpg,https://www.metmuseum.org/art/collection/search/10465,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DT11882.jpg,https://www.metmuseum.org/art/collection/search/10527,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/ap1974.263.jpg,https://www.metmuseum.org/art/collection/search/10590,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DP161218.jpg,https://www.metmuseum.org/art/collection/search/19262,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ma/mobile-large/DT7870.jpg,https://www.metmuseum.org/art/collection/search/483333,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DT1512.jpg,https://www.metmuseum.org/art/collection/search/12108,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ma/mobile-large/DT4479.jpg,https://www.metmuseum.org/art/collection/search/490012,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ma/mobile-large/DT4069.jpg,https://www.metmuseum.org/art/collection/search/486741,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/LC-59_103_15_EGDP036718.jpg,https://www.metmuseum.org/art/collection/search/555577,Falcon Amulet,ca. 2150–1950 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/LC-10_130_2050_EGDP025545.jpg,https://www.metmuseum.org/art/collection/search/550916,"Amulet, Head of an Apis Bull",664–332 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/552877,"Amulet, Taweret",664–332 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/LC-10_130_1812_EGDP025716.jpg,https://www.metmuseum.org/art/collection/search/552796,Djed pillar Amulet,664–30 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/62361.jpg,https://www.metmuseum.org/art/collection/search/587566,Wedjat Eye Amulet,ca. 1000–945 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/05.3.32_bottom.jpg,https://www.metmuseum.org/art/collection/search/556377,Canaanite Cowroid Seal Amulet with Falcon Headed Deity,ca. 1600–1500 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/553346,Shu Amulet,664–332 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/23.10.34_EGDP017173.jpg,https://www.metmuseum.org/art/collection/search/561538,Neith (?) amulet,664–380 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/555264,Bes Amulet,664–332 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/552643,Nefertum Amulet,664–30 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/DP-22606-001.jpg,https://www.metmuseum.org/art/collection/search/550716,"Amulet, Heart with human head",ca. 1295–1070 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/555250,Jackal Amulet,664–332 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/561222,Wedjat eye amulet,664–332 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/15.3.216_EGDP015430.jpg,https://www.metmuseum.org/art/collection/search/557138,Animal amulet,ca. 1850–1640 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/556046,Uraeus amulet,ca. 1981–1550 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/552717,"Amulet, Horus",664–332 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/22.1.1295-GC-shelf.jpg,https://www.metmuseum.org/art/collection/search/557493,String of beads and amulets,ca. 1981–1295 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/DP311611.jpg,https://www.metmuseum.org/art/collection/search/550965,Hathor Head Amulet,664–332 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/552642,Nefertum Amulet,664–30 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/546242,Bes amulet,ca. 1295–1070 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/M_2074.jpg,https://www.metmuseum.org/art/collection/search/565435,Horus Amulet,664–332 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/04.18.15.jpg,https://www.metmuseum.org/art/collection/search/555801,Amulet Depicting the God Min,ca. 1850–1775 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/552843,Qebehsenuef Plaque Amulet,664–30 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/557193,Amulet of fish,ca. 1981–1295 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/LC-59_100_8_EGDP036701.jpg,https://www.metmuseum.org/art/collection/search/555597,Jackal head amulet,ca. 2150–1950 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/545461,Hippopotamus head amulet,ca. 2030–1550 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/LC-25_3_199_EGDP034945.jpg,https://www.metmuseum.org/art/collection/search/548274,Pataikos Amulet,ca. 1070–945 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/45.4.11_EGDP021797.jpg,https://www.metmuseum.org/art/collection/search/560261,"String of tiny disk beads, barrels, and 13 Taweret amulets",ca. 1981–1504 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/558488,Imsety Amulet,664–332 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/LC-2021_41_128_EGDP032165.jpg,https://www.metmuseum.org/art/collection/search/329907,Striding Thoth,ca. 664–332 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/11.215.36_top.jpg,https://www.metmuseum.org/art/collection/search/558977,Frog Seal Amulet with a City Hieroglyph (?) on the Base,ca. 1390–1352 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/553856,"Amulet, bound ox",ca. 1550–1295 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/555314,Seal Amulet,664–332 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/27.3.399_front.jpg,https://www.metmuseum.org/art/collection/search/548786,Tjes-Knot Amulet,ca. 1479–1458 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/559538,Amulet of fly,ca. 1981–1295 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/555321,Duck Amulet,664–332 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/577301,Wedjat Eye Amulet Mold,664–332 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/LC-04_18_27_EGDP036229.jpg,https://www.metmuseum.org/art/collection/search/558524,Amulet in the Form of a falcon,ca. 1850–1775 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/558834,Beetle amulet,ca. 1981–1550 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/550719,Fish Amulet,ca. 1295–1070 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/LC-2019_11-001.jpg,https://www.metmuseum.org/art/collection/search/20768,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP-27910-001.jpg,https://www.metmuseum.org/art/collection/search/436839,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP-17460-001.jpg,https://www.metmuseum.org/art/collection/search/436553,A City on a Rock,Goya,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DT10714.jpg,https://www.metmuseum.org/art/collection/search/11226,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP164837.jpg,https://www.metmuseum.org/art/collection/search/435922,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DP-29821-001.jpg,https://www.metmuseum.org/art/collection/search/11282,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP169465.jpg,https://www.metmuseum.org/art/collection/search/438673,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP124057.jpg,https://www.metmuseum.org/art/collection/search/436903,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ma/mobile-large/DT1455.jpg,https://www.metmuseum.org/art/collection/search/489972,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ma/mobile-large/DP-16533-001.jpg,https://www.metmuseum.org/art/collection/search/817649,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ma/mobile-large/DP-30348-001.jpg,https://www.metmuseum.org/art/collection/search/761235,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DP361299.jpg,https://www.metmuseum.org/art/collection/search/10476,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DT208249.jpg,https://www.metmuseum.org/art/collection/search/10500,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DT104.jpg,https://www.metmuseum.org/art/collection/search/14931,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DP-32849-001.jpg,https://www.metmuseum.org/art/collection/search/838178,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/ap55.118.jpg,https://www.metmuseum.org/art/collection/search/10472,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/ADA3826.jpg,https://www.metmuseum.org/art/collection/search/13171,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP221248.jpg,https://www.metmuseum.org/art/collection/search/437874,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DT2159.jpg,https://www.metmuseum.org/art/collection/search/437382,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP-14274-005.jpg,https://www.metmuseum.org/art/collection/search/441351,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP124813.jpg,https://www.metmuseum.org/art/collection/search/436869,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DT2130.jpg,https://www.metmuseum.org/art/collection/search/437513,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DP-33981-001.jpg,https://www.metmuseum.org/art/collection/search/10422,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP103065.jpg,https://www.metmuseum.org/art/collection/search/438637,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/845334,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/CT_41570.jpg,https://www.metmuseum.org/art/collection/search/438128,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/ap1976.201.5.jpg,https://www.metmuseum.org/art/collection/search/10629,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DP-21443-001.jpg,https://www.metmuseum.org/art/collection/search/11116,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP-34307-001.jpg,https://www.metmuseum.org/art/collection/search/439346,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/ap09.14.jpg,https://www.metmuseum.org/art/collection/search/12569,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ma/mobile-large/DT7737.jpg,https://www.metmuseum.org/art/collection/search/483042,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DT1902.jpg,https://www.metmuseum.org/art/collection/search/437106,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/ap87.26.jpg,https://www.metmuseum.org/art/collection/search/10614,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP-17567-001.jpg,https://www.metmuseum.org/art/collection/search/439343,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP-12951-001.jpg,https://www.metmuseum.org/art/collection/search/437865,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/DP318522.jpg,https://www.metmuseum.org/art/collection/search/546884,Kohl Jar and Stick,ca. 1635–1458 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DT2045.jpg,https://www.metmuseum.org/art/collection/search/11302,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/544916,Globular vessel with lid,ca. 1950–1900 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ma/mobile-large/IA-2023_559.jpg,https://www.metmuseum.org/art/collection/search/904006,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/eg30.8.134_1992.338.jpg,https://www.metmuseum.org/art/collection/search/590943,Two Vases in the Shape of a Mother Monkey with her Young,ca. 2289–2246 BC,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ma/mobile-large/DP102742.jpg,https://www.metmuseum.org/art/collection/search/492734,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564794,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ma/mobile-large/DP169317.jpg,https://www.metmuseum.org/art/collection/search/495585,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/561326,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564790,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DP-12814-001.jpg,https://www.metmuseum.org/art/collection/search/10745,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/561245,Jar Fragment,ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564751,Fragment of Siptah's Canopic Chest,ca. 1194–1188 B.C.,Unknown Author,"40.7794, -73.9632"
